phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,subsource,threshold
2,3,II→III,56,70,24871,48648,0.8,0.5112440388094064,1.564810421776366,1.3914030393392227,1.7598291701754396,3.8240521088818302,2.1284406602181845,6.87046381172992,8.695991585658461e-07,clingen,0.25
3,4,III→Approved,31,50,6173,20600,0.62,0.29966019417475726,2.069010205734651,1.6637411826358814,2.572998298119918,3.8131847519332918,2.152511992815181,6.755074072019367,3.244297771841419e-06,clingen,0.25
1,4,I→Approved,31,67,6173,55835,0.4626865671641791,0.1105578937942151,4.185016114954146,3.2297469190582713,5.422827336431899,6.9276688806091045,4.282602717340168,11.206408646087764,4.826559435546119e-13,clingen,0.25
1,2,I→II,124,145,56029,67469,0.8551724137931035,0.8304406468155746,1.0297814986204803,0.9629798248565737,1.101217188074512,1.2056341571414124,0.7588652228344062,1.9154306682245568,0.5059932659449199,crispr,0.25
2,3,II→III,59,109,24868,48609,0.5412844036697247,0.5115925034458639,1.058038184734665,0.8899218283612814,1.2579136331760639,1.12652324272157,0.7725713870306714,1.6426373506653555,0.5657201430058498,crispr,0.25
3,4,III→Approved,20,48,6184,20602,0.4166666666666667,0.3001650325211144,1.388125269512721,0.9926052580405301,1.9412467828989532,1.6653576048789502,0.9374876078103489,2.958349453392677,0.08401559935839359,crispr,0.25
1,4,I→Approved,20,119,6184,55783,0.16806722689075632,0.11085814674721689,1.5160566166958376,1.0158063539115827,2.2626632095542973,1.6203104786545925,1.0013971900616965,2.621742974010265,0.05623646473287068,crispr,0.25
1,2,I→II,198,209,55955,67405,0.9473684210526315,0.8301312958979304,1.1412272079537598,1.1051347072386208,1.1784984505899876,3.6833169511214368,2.0063880796208977,6.761814376898578,6.543152567737255e-07,crispr_screen,0.25
2,3,II→III,59,96,24868,48622,0.6145833333333334,0.5114557196330879,1.2016354686075814,1.025349746394195,1.4082295377685157,1.5231622969277787,1.009434174432849,2.2983404381824233,0.05168240029989221,crispr_screen,0.25
3,4,III→Approved,15,49,6189,20601,0.30612244897959184,0.30042230959662153,1.0189737552801053,0.6681359134967104,1.5540363763947738,1.027344529668387,0.5591860277130157,1.8874519933127305,1.0,crispr_screen,0.25
1,4,I→Approved,15,97,6189,55805,0.15463917525773196,0.11090404085655407,1.3943511351200084,0.8750683676182556,2.221786502581717,1.4664885378858636,0.8452128419847107,2.5444344015179086,0.19248455200700576,crispr_screen,0.25
1,2,I→II,7984,9785,48169,57829,0.8159427695452223,0.8329557834304587,0.9795751296483353,0.9697374658208796,0.9895125933009943,0.8890297854575014,0.8409475603629187,0.9398611717114891,3.9779063718828404e-05,europepmc,0.25
2,3,II→III,3630,7108,21297,41610,0.5106921778277996,0.5118240807498198,0.9977884922484266,0.973528369110464,1.0226531725758288,0.9954803343593494,0.946625881959598,1.0468561181158336,0.8674573255051983,europepmc,0.25
3,4,III→Approved,1254,3061,4950,17589,0.4096700424697811,0.28142589118198874,1.4556942175759555,1.386580834234831,1.5282525207074888,1.7719313779745434,1.6370431486497536,1.917934057413482,3.087795574069569e-44,europepmc,0.25
1,4,I→Approved,1254,8340,4950,47562,0.15035971223021583,0.10407468146839914,1.4447290167865707,1.3640977011935693,1.5301264199175613,1.523432119672594,1.4248906848191953,1.6287884031922248,5.653512857937457e-33,europepmc,0.25
1,2,I→II,514,561,55639,67053,0.9162210338680927,0.8297764454983372,1.104178166105739,1.0766397806774366,1.1324209307383104,2.2434883230919076,1.6630921383766097,3.02643475950937,4.654132122766063e-09,eva,0.25
2,3,II→III,355,477,24572,48241,0.7442348008385744,0.5093592587218341,1.4611196087926774,1.385236138775336,1.5411599881344922,2.802902077000878,2.2800382871092664,3.4456702317996393,2.1518159610148703e-25,eva,0.25
3,4,III→Approved,207,326,5997,20324,0.6349693251533742,0.2950698681361937,2.1519287250987458,1.976564731472356,2.3428512935448373,4.155703902371354,3.3101740539604148,5.217210528105668,4.105627489834747e-36,eva,0.25
1,4,I→Approved,207,495,5997,55407,0.41818181818181815,0.10823542151713682,3.863631815907954,3.472881132708145,4.298347751757241,5.921867183591796,4.943418048652989,7.0939804392341665,3.106891695499037e-69,eva,0.25
1,2,I→II,172,188,55981,67426,0.9148936170212766,0.8302583573102365,1.1019384616437111,1.054787845454703,1.1511967818763174,2.1977769243136063,1.3162375937954451,3.6697199896237223,0.0012282549795219083,eva_somatic,0.25
2,3,II→III,82,158,24845,48560,0.5189873417721519,0.5116350906095551,1.0143701073236344,0.8727581046503435,1.1789597932682534,1.0298746968043977,0.7534086362610798,1.407790991594639,0.8736062246072365,eva_somatic,0.25
3,4,III→Approved,46,68,6158,20582,0.6764705882352942,0.29919347002234964,2.260980455839367,1.9157376070940564,2.668440919444042,4.89757595441259,2.9441150596303234,8.147185060169559,1.9636568258794847e-10,eva_somatic,0.25
1,4,I→Approved,46,160,6158,55742,0.2875,0.11047325176706971,2.602439915556999,2.0368136921626725,3.3251413912546557,3.2490384779747354,2.3047710895579723,4.580173310567233,8.090236323378774e-10,eva_somatic,0.25
1,2,I→II,155,191,55998,67423,0.8115183246073299,0.8305474393011287,0.9770884674452659,0.912461257702571,1.046293050971087,0.8784415911679385,0.6109255133815132,1.263099366766453,0.49863803591498357,expression_atlas,0.25
2,3,II→III,70,139,24857,48579,0.5035971223021583,0.5116820025113732,0.9841994047679344,0.8342639222442604,1.1610815744492309,0.9681698154020708,0.6939773804719896,1.3506964604785319,0.8654054547376793,expression_atlas,0.25
3,4,III→Approved,16,64,6188,20586,0.25,0.30059263577188383,0.8316903684550743,0.5438123702603683,1.2719623657140393,0.7755871579400991,0.4401183458111734,1.3667583850723655,0.41552510143205945,expression_atlas,0.25
1,4,I→Approved,16,169,6188,55733,0.09467455621301775,0.11102937218524034,0.8526982937007301,0.5346406172208744,1.3599684660317426,0.8372941936955778,0.4999576554928306,1.4022418880760212,0.6229217497853335,expression_atlas,0.25
1,2,I→II,54,55,56099,67559,0.9818181818181818,0.830370490978256,1.1823856850470515,1.140433987843509,1.225880606073295,11.031212677587837,1.5259210290944787,79.74701889414762,0.0008769591284222,gene2phenotype,0.25
2,3,II→III,36,51,24891,48667,0.7058823529411765,0.5114554009904042,1.380144488794674,1.1558302365843784,1.647991850065481,2.2924912619018922,1.2548856300750535,4.188043961888545,0.0071497283389115,gene2phenotype,0.25
3,4,III→Approved,25,33,6179,20617,0.7575757575757576,0.29970412766163845,2.527745491817348,2.081730000929536,3.0693208382210386,7.301950153746561,3.2918278150239444,16.197225080987902,7.834475559217668e-08,gene2phenotype,0.25
1,4,I→Approved,25,49,6179,55853,0.5102040816326531,0.11062968864698405,4.611818833375719,3.5018052537379067,6.0736881153445355,8.374130118142094,4.7798882905502404,14.671065718044611,5.5444802956445136e-12,gene2phenotype,0.25
1,2,I→II,84,96,56069,67518,0.875,0.8304304037441868,1.0536704774474308,0.9768674745838564,1.1365118646388026,1.4293638195794467,0.7803892403112292,2.618028059828116,0.27788865897934495,gene_burden,0.25
