phase_from,phase_to,phase_label,x_yes,n_yes,x_no,n_no,rate_yes,rate_no,rr,rr_ci_lower,rr_ci_upper,or,or_ci_lower,or_ci_upper,p_value,experiment,similarity_threshold
1,2,I→II,17541,18544,1934679,2118134,0.9459124245038827,0.9133883880812074,1.035608112438346,1.0320243222059797,1.0392043476801498,1.6583418116218245,1.5558263347081513,1.767612170344854,6.520688251991559e-63,Combined GE × Combined CT,0.8
2,3,II→III,12979,16603,1184685,1785165,0.7817261940613143,0.6636277318903294,1.17795890149826,1.168449894999435,1.1875452936042743,1.8153012256003336,1.7494424228713648,1.8836393222118495,1.0259684750813332e-242,Combined GE × Combined CT,0.8
3,4,III→Approved,8576,12221,623052,1076226,0.7017429015628835,0.5789230143111205,1.2121523660583964,1.1980884626518158,1.2263813602618552,1.7113070138819373,1.6459463560668453,1.7792631485023793,4.666434156162501e-171,Combined GE × Combined CT,0.8
1,4,I→Approved,8576,16848,623052,1860161,0.5090218423551757,0.3349452009799152,1.519716780135921,1.4971398583484732,1.5426341626989966,2.058533403255561,1.9969799321516704,2.121984154218872,0.0,Combined GE × Combined CT,0.8
1,2,I→II,9832,10393,1942388,2126285,0.9460213605311267,0.9135125347730901,1.035586622537272,1.0308225572198901,1.0403727055318859,1.6592723137787315,1.5237388298250911,1.8068612267291644,4.55286370718241e-36,Combined GE × Combined CT,0.9
2,3,II→III,7413,9323,1190251,1792445,0.7951303228574493,0.6640376692171865,1.1974174955990131,1.185080902937108,1.2098825111543499,1.9636247704029306,1.8671312809189122,2.065105050911209,4.702431876737974e-171,Combined GE × Combined CT,0.9
3,4,III→Approved,5246,7099,626382,1081348,0.7389773207494014,0.5792603306243689,1.2757257517580702,1.2580928657926396,1.2936057726337478,2.0563287165302437,1.9499799319049727,2.1684775936622227,1.0075006772269126e-171,Combined GE × Combined CT,0.9
1,4,I→Approved,5246,9570,626382,1867439,0.548171368861024,0.3354230044461961,1.6342688533426277,1.6046318058584306,1.664453287822629,2.403781897892911,2.3086693327784418,2.502812910709792,0.0,Combined GE × Combined CT,0.9
1,2,I→II,8622,9099,1943598,2127579,0.9475766567754699,0.913525655216563,1.0372742695998336,1.0322551171860435,1.0423178267276654,1.7110242748194668,1.5601449703076942,1.876494892935556,4.92323674569616e-35,Combined GE × Combined CT,1.0
2,3,II→III,6527,8191,1191137,1793577,0.7968502014406056,0.6641125527367936,1.19987221767877,1.1867650144782247,1.21312418313102,1.9838661869031275,1.8797401700390963,2.0937601431668593,1.2688911517690106e-154,Combined GE × Combined CT,1.0
3,4,III→Approved,4628,6264,627000,1082183,0.7388250319284803,0.5793844479168495,1.2751896164712258,1.2564420103695395,1.2942169591080193,2.053659998518189,1.940837620674021,2.1730408276242366,2.5153912453213863e-151,Combined GE × Combined CT,1.0
1,4,I→Approved,4628,8405,627000,1868604,0.5506246281975015,0.33554460977285716,1.6409878512733078,1.6094299083379335,1.673164587085062,2.426397376211849,2.3240756734601633,2.5332239799758227,0.0,Combined GE × Combined CT,1.0
